published_date,month_day,date_source,last_changed_date,title,author,path
2026-05-21,5月21日,git:first_commit,2026-05-21,买了就跌卖了就涨，不是运气差，是这件事没弄清楚,桥博士,articles/published/wechat_batch5_test_buy-dip-sell-peak.md
2026-05-20,5月20日,git:first_commit,2026-05-20,等一个完美买点要多久？数据告诉你别再等了,桥博士,articles/published/wechat_batch5_10_waiting-for-perfect-entry.md
2026-05-20,5月20日,git:first_commit,2026-05-20,看对了方向还是亏钱，问题根本不在判断上,桥博士,articles/published/wechat_batch5_06_right-direction-wrong-result.md
2026-05-20,5月20日,git:first_commit,2026-05-20,满仓和重仓只差一个字，亏起来差几十万,桥博士,articles/published/wechat_batch5_07_full-position-vs-heavy-position.md
2026-05-20,5月20日,git:first_commit,2026-05-20,止损做不到不是意志力差，是你的系统设计错了,桥博士,articles/published/wechat_batch5_03_stop-loss-system-design.md
2026-05-20,5月20日,git:first_commit,2026-05-20,"我再等等""这4个字，让你错过了多少",桥博士,articles/published/wechat_batch5_11_just-wait-a-bit-more.md
2026-05-20,5月20日,git:first_commit,2026-05-20,大盘涨你账户跌，选股错了还是节奏错了？,桥博士,articles/published/wechat_batch5_12_market-up-account-down.md
2026-05-20,5月20日,git:first_commit,2026-05-20,均线为什么对你不灵了？问题根本不在均线,桥博士,articles/published/wechat_batch5_09_moving-average-not-working.md
2026-05-20,5月20日,git:first_commit,2026-05-20,你越复盘越亏钱？3种错误复盘方式正在毁掉你,桥博士,articles/published/wechat_batch5_05_bad-review-methods.md
2026-05-20,5月20日,git:first_commit,2026-05-20,亏了30%要赚多少才回本？大多数人都算错了,桥博士,articles/published/wechat_batch5_04_drawdown-math.md
2026-05-20,5月20日,git:first_commit,2026-05-20,AI能帮你选股，但为什么90%的人用了反而亏更多？,桥博士,articles/published/wechat_batch5_08_ai-stock-picking-trap.md
2026-05-19,5月19日,git:first_commit,2026-05-19,离稳定盈利还差哪一步？这5个信号说明你快到了,桥博士,articles/published/wechat_batch4_05_five-success-signals.md
2026-05-19,5月19日,git:first_commit,2026-05-19,用弹论重构日内交易：4个方法让等待变成优势,桥博士,articles/published/wechat_batch4_14_daytrading-reframe.md
2026-05-19,5月19日,git:first_commit,2026-05-19,深度解读波浪理论：为什么10个人数出10种浪？,桥博士,articles/published/wechat_batch4_20_wave-theory-vs-kuanlun.md
2026-05-19,5月19日,git:first_commit,2026-05-19,海龟系统在A股为什么成功率这么低？原版有个致命假设,桥博士,articles/published/wechat_batch4_08_turtle-ashare-failure.md
2026-05-19,5月19日,git:first_commit,2026-05-19,海龟交易法则作者为什么会破产？这一条学到就够了,桥博士,articles/published/wechat_batch4_18_turtle-bankruptcy-lesson.md
2026-05-19,5月19日,git:first_commit,2026-05-19,每天盯盘8小时有效交易不超20分钟，怎么破？,桥博士,articles/published/wechat_batch4_04_daytrading-20min.md
2026-05-19,5月19日,git:first_commit,2026-05-19,散户到职业选手的距离，就差这5件你从没做对的事,桥博士,articles/published/wechat_batch4_15_amateur-to-pro-5things.md
2026-05-19,5月19日,git:first_commit,2026-05-19,散户99%缺的不是选股方法，是这三种核心交易能力,桥博士,articles/published/wechat_batch4_03_three-core-abilities.md
2026-05-19,5月19日,git:first_commit,2026-05-19,把交易当手艺来练：从新手到独立判断的三个阶段,桥博士,articles/published/wechat_batch4_11_trading-as-craft-3stages.md
2026-05-19,5月19日,git:first_commit,2026-05-19,建立稳定盈利系统需要多久？答案没你想的那么复杂,桥博士,articles/published/wechat_batch4_09_stable-profit-system.md
2026-05-19,5月19日,git:first_commit,2026-05-19,小资金账户唯一正确的玩法：盾牌、地图、裁判三位一体,桥博士,articles/published/wechat_batch4_16_smallcap-three-tools.md
2026-05-19,5月19日,git:first_commit,2026-05-19,学了3年指标，才明白交易这门手艺真的不求人,桥博士,articles/published/wechat_batch4_01_trading-as-craft.md
2026-05-19,5月19日,git:first_commit,2026-05-19,在A股活下来的人，都把读懂节奏变成了一种本能,桥博士,articles/published/wechat_batch4_10_ashare-survival-instinct.md
2026-05-19,5月19日,git:first_commit,2026-05-19,别拿KDJ当买卖信号，用它当过滤器才是正确姿势,桥博士,articles/published/wechat_batch4_17_kdj-as-filter.md
2026-05-19,5月19日,git:first_commit,2026-05-19,你需要的不是更多方法，是把这三件事真正做对,桥博士,articles/published/wechat_batch4_13_three-things-done-right.md
2026-05-19,5月19日,git:first_commit,2026-05-19,你学的缠论越改越难用：是理论本身的问题吗？,桥博士,articles/published/wechat_batch4_02_chanlun-overmodified.md
2026-05-19,5月19日,git:first_commit,2026-05-19,从缠论到宽论：不是升级，是找到适合A股的简化路径,桥博士,articles/published/wechat_batch4_12_chanlun-to-kuanlun.md
2026-05-19,5月19日,git:first_commit,2026-05-19,从混乱到系统：我用宽论弹论重建交易体系的全过程,桥博士,articles/published/wechat_batch4_19_rebuild-system-with-kuanlun.md
2026-05-19,5月19日,git:first_commit,2026-05-19,KDJ金叉买入为什么10次有7次止损？问题在信号前,桥博士,articles/published/wechat_batch4_07_kdj-false-signals.md
2026-05-19,5月19日,git:first_commit,2026-05-19,5万以下小资金怎么操作？3条铁律让你活过市场初期,桥博士,articles/published/wechat_batch4_06_smallcap-survival.md
2026-05-15,5月15日,filename,2026-05-15,量化交易的门槛不在编程而在这个更根本的认知问题,桥博士,articles/published/wechat_mcode2_a_量化交易的门槛不在编程而在这个更根本的认知问题_20260515.md
2026-05-15,5月15日,filename,2026-05-15,艾略特波浪三个致命缺陷以及宽论如何用带鱼短鱼各个击破,桥博士,articles/published/wechat_blvs_c_艾略特波浪三个致命缺陷以及宽论如何用带鱼短鱼各个击破_20260515.md
2026-05-15,5月15日,filename,2026-05-15,用通达信麦语言把弹论写成代码一次你能跟上的全程实操,桥博士,articles/published/wechat_mcode2_b_用通达信麦语言把弹论写成代码一次你能跟上的全程实操_20260515.md
2026-05-15,5月15日,filename,2026-05-15,海龟系统为什么在A股失效？不是方法问题是市场结构问题,桥博士,articles/published/wechat_guilvs_a_海龟系统为什么在A股失效不是方法问题是市场结构问题_20260515.md
2026-05-15,5月15日,filename,2026-05-15,海龟交易法则最难的不是策略是执行纪律——宽论怎么解决这个问题,桥博士,articles/published/wechat_guilvs_c_海龟交易法则最难的不是策略是执行纪律宽论怎么解决_20260515.md
2026-05-15,5月15日,filename,2026-05-15,波浪理论为什么学了不会用？根本问题在于它是一门艺术,桥博士,articles/published/wechat_blvs_a_波浪理论为什么学了不会用根本问题在于它是一门艺术_20260515.md
2026-05-15,5月15日,filename,2026-05-15,止损是交易成本不是失败：重建你对“亏损”这件事的认知,桥博士,articles/published/wechat_fczl_c_止损是交易成本不是失败重建你对亏损这件事的认知_20260515.md
2026-05-15,5月15日,filename,2026-05-15,明势才能分仓 定损才敢重仓——宽论三合一仓位管理框架,桥博士,articles/published/wechat_fczl_b_明势才能分仓定损才敢重仓宽论三合一仓位管理框架_20260515.md
2026-05-15,5月15日,filename,2026-05-15,散户把80%精力放错了地方：721自律模型的时间重分配诊断,桥博士,articles/published/wechat_721_c_散户把80%精力放错了地方721自律模型的时间重分配诊断_20260515.md
2026-05-15,5月15日,filename,2026-05-15,宽论量化海龟：原版海龟加弹论过滤加CDVA入场，胜率有何变化,桥博士,articles/published/wechat_guilvs_b_宽论量化海龟原版海龟加弹论过滤加CDVA入场胜率有何变化_20260515.md
2026-05-15,5月15日,filename,2026-05-15,宽论 vs 波浪理论：从“数浪”到“判鱼”主观分析对量化验证,桥博士,articles/published/wechat_blvs_b_宽论vs波浪理论从数浪到判鱼主观分析对量化验证_20260515.md
